x 座標,解析解 (-sin x),16核平行趨近值,絕對誤差
0.000000,-0.000000,0.000000,0.00e+00
0.001571,-0.001571,-0.001571,2.78e-10
0.003142,-0.003142,-0.003142,1.59e-12
0.004712,-0.004712,-0.004712,8.81e-12
0.006283,-0.006283,-0.006283,1.48e-10
0.007854,-0.007854,-0.007854,1.40e-10
0.009425,-0.009425,-0.009425,2.88e-10
0.010996,-0.010995,-0.010995,8.06e-11
0.012566,-0.012566,-0.012566,3.79e-12
0.014137,-0.014137,-0.014137,4.23e-10
0.015708,-0.015707,-0.015707,4.18e-10
0.017279,-0.017278,-0.017278,7.28e-11
0.018850,-0.018848,-0.018848,6.02e-11
0.020420,-0.020419,-0.020419,1.99e-10
0.021991,-0.021989,-0.021989,2.27e-10
0.023562,-0.023560,-0.023560,1.21e-10
0.025133,-0.025130,-0.025130,2.52e-10
0.026704,-0.026700,-0.026700,2.61e-11
0.028274,-0.028271,-0.028271,9.39e-11
0.029845,-0.029841,-0.029841,1.56e-10
0.031416,-0.031411,-0.031411,1.19e-11
0.032987,-0.032981,-0.032981,1.73e-11
0.034558,-0.034551,-0.034551,1.39e-10
0.036128,-0.036120,-0.036120,2.08e-10
0.037699,-0.037690,-0.037690,3.45e-10
0.039270,-0.039260,-0.039260,3.00e-12
0.040841,-0.040829,-0.040829,6.36e-11
0.042412,-0.042399,-0.042399,1.23e-10
0.043982,-0.043968,-0.043968,1.25e-10
0.045553,-0.045537,-0.045537,1.09e-10
0.047124,-0.047106,-0.047106,9.81e-11
0.048695,-0.048675,-0.048675,8.05e-11
0.050265,-0.050244,-0.050244,4.25e-11
0.051836,-0.051813,-0.051813,3.25e-10
0.053407,-0.053382,-0.053382,4.99e-10
0.054978,-0.054950,-0.054950,1.99e-10
0.056549,-0.056519,-0.056519,9.94e-11
0.058119,-0.058087,-0.058087,5.25e-10
0.059690,-0.059655,-0.059655,3.66e-10
0.061261,-0.061223,-0.061223,1.76e-10
0.062832,-0.062791,-0.062791,1.48e-10
0.064403,-0.064358,-0.064358,2.58e-10
0.065973,-0.065926,-0.065926,5.56e-10
0.067544,-0.067493,-0.067493,1.13e-10
0.069115,-0.069060,-0.069060,1.96e-10
0.070686,-0.070627,-0.070627,5.13e-11
0.072257,-0.072194,-0.072194,1.33e-10
0.073827,-0.073760,-0.073760,1.96e-10
0.075398,-0.075327,-0.075327,1.05e-10
0.076969,-0.076893,-0.076893,8.75e-11
0.078540,-0.078459,-0.078459,2.37e-10
0.080111,-0.080025,-0.080025,2.72e-10
0.081681,-0.081591,-0.081591,1.76e-10
0.083252,-0.083156,-0.083156,1.89e-10
0.084823,-0.084721,-0.084721,1.69e-10
0.086394,-0.086286,-0.086286,4.08e-10
0.087965,-0.087851,-0.087851,1.71e-10
0.089535,-0.089416,-0.089416,3.95e-11
0.091106,-0.090980,-0.090980,6.76e-11
0.092677,-0.092544,-0.092544,1.55e-10
0.094248,-0.094108,-0.094108,2.15e-10
0.095819,-0.095672,-0.095672,3.10e-11
0.097389,-0.097236,-0.097236,3.19e-10
0.098960,-0.098799,-0.098799,4.36e-12
0.100531,-0.100362,-0.100362,6.82e-11
0.102102,-0.101924,-0.101924,2.94e-10
0.103673,-0.103487,-0.103487,9.50e-11
0.105243,-0.105049,-0.105049,6.24e-11
0.106814,-0.106611,-0.106611,3.18e-10
0.108385,-0.108173,-0.108173,6.65e-11
0.109956,-0.109734,-0.109734,1.75e-10
0.111527,-0.111295,-0.111295,3.00e-10
0.113097,-0.112856,-0.112856,4.00e-12
0.114668,-0.114417,-0.114417,2.59e-10
0.116239,-0.115977,-0.115977,1.82e-10
0.117810,-0.117537,-0.117537,6.99e-12
0.119381,-0.119097,-0.119097,2.00e-10
0.120951,-0.120657,-0.120657,6.95e-10
0.122522,-0.122216,-0.122216,2.15e-10
0.124093,-0.123775,-0.123775,1.09e-10
0.125664,-0.125333,-0.125333,7.12e-12
0.127235,-0.126892,-0.126892,1.51e-11
0.128805,-0.128449,-0.128449,2.18e-10
0.130376,-0.130007,-0.130007,2.04e-10
0.131947,-0.131564,-0.131564,7.34e-10
0.133518,-0.133121,-0.133121,7.43e-11
0.135088,-0.134678,-0.134678,6.64e-11
0.136659,-0.136234,-0.136234,1.70e-10
0.138230,-0.137790,-0.137790,2.49e-10
0.139801,-0.139346,-0.139346,1.92e-10
0.141372,-0.140901,-0.140901,7.40e-12
0.142942,-0.142456,-0.142456,3.56e-10
0.144513,-0.144011,-0.144011,6.57e-11
0.146084,-0.145565,-0.145565,4.61e-11
0.147655,-0.147119,-0.147119,1.97e-10
0.149226,-0.148672,-0.148672,1.00e-10
0.150796,-0.150226,-0.150226,1.11e-10
0.152367,-0.151778,-0.151778,4.76e-12
0.153938,-0.153331,-0.153331,1.44e-10
0.155509,-0.154883,-0.154883,1.22e-10
